English_SubText,Tamil_SubText
Athi - He is leaving India to Boston,அதி - அவர் இந்தியாவிலிருந்து பாஸ்டனுக்கு செல்கிறார்
He enjoys the flight,அவர் விமானத்தை ரசிக்கிறார்
Athi noticed a girl in flight  who has been travel-ling with him as co passenger,விமானத்தில் ஒரு பெண் தன்னுடன் சக பயணியாக பயணிப்பதை அதி கவனித்தார்
Athi lands in Boston and leaves to home ,பின்னர் அதி பாஸ்டனில் தரையிறங்கி அபார்ட்மெண்டிற்கு செல்கிறார்
Athi's Roommates are waiting ,ஆதியின் அறை தோழர்கள் காத்திருக்கிறார்கள்
There athi meets his roommates Nish and Vik ,அங்கு ஆதி தனது அறை தோழர்களான நிஷ் மற்றும் விக் ஆகியோரை சந்திக்கிறார்
Athi nish vik wander around college ,அதி நிஷ் விக் கல்லூரியில் சுற்றித் திரிந்தான்
"On their first day of entering Boston, they decide to explore boston around ","அவர்கள் பாஸ்டனுக்குள் நுழைந்த முதல் நாளில், அவர்கள் பாஸ்டனை சுற்றி ஆராய முடிவு செய்கிறார்கள்"
Reflection Pool,  
Charles River,  
  , 
They went out for Dinner,இரவு உணவிற்கு வெளியே சென்றனர்
"Also, athi,nish and vik decides to call up Sub ( a friend who came to USA a year before).","மேலும், அதி,நிஷ் மற்றும் விக் ஆகியோர் சப் (ஒரு வருடம் முன்பு அமெரிக்கா வந்திருந்த நண்பர்) என்பவரை அழைக்க முடிவு செய்தனர்."
"Since sub is not available in the day , he says to come to their house directly in evening","பகலில் சப் கிடைக்காததால் , மாலையில் நேரிடையாக தங்கள் வீட்டிற்கு வரச் சொல்கிறார்"
"They were walking in park , someone is following","அவர்கள் பூங்கா வழியாக நடந்து கொண்டிருந்தார்கள், யாரோ பின்தொடர்கிறார்கள்"
They then went for essential shopping ,பின்னர் அத்தியாவசிய பொருட்கள் வாங்க சென்றனர்
They were walking  home but Athi thinks someone is following,அவர்கள் வீட்டிற்கு திரும்பி நடந்து கொண்டிருந்தார்கள் ஆனால் யாரோ பின்தொடர்கிறார்கள் என்று ஆதி நினைக்கிறார்
He finds nobody there but still feels mysterious,"அவர் அங்கு யாரையும் காணவில்லை, ஆனால் இன்னும் மர்மமாக உணர்கிறார்"
Then they reach their home in the late evening,பின்னர் மாலையில் தங்கள் வீட்டை அடைகின்றனர்
They enter the apartment to notice their front door was open,"அவர்கள் மூவரும் அபார்ட்மெண்டிற்குள் நுழைகிறார்கள், அவர்களின் முன் கதவு திறந்திருப்பதைக் கவனிக்கவும், அது மூடப்பட்டதை நினைவில் கொள்ளவும்"
They then take it casually and enters,அவர்கள் அதை சாதாரணமாக எடுத்துக்கொண்டு தங்கள் வீட்டிற்குள் நுழைகிறார்கள்
Nish heads to the shower ,நிஷ் குளியலறையைத் திறந்து குளியலறையைத் திறக்கிறார்
He sees a dead body in his bath tub,"அவர் கதவைத் திறந்து, அவரது குளியல் தொட்டியில் ஒரு சடலத்தைப் பார்க்கிறார்"
Nish shouts and vik comes running,"நிஷ் கத்த, விக் பார்க்க ஓடினான்"
they all got panic and tries to call the police,அவர்கள் அனைவரும் பீதியடைந்து காவல்துறையை அழைக்க முயன்றனர்
Scared they try to leave the house but they can't open,பயந்து வீட்டை விட்டு வெளியேற முயன்றும் அவர்களால் திறக்க முடியவில்லை
Suddenly they hear some noise ,திடீரென்று ஒரு அறையிலிருந்து ஏதோ சத்தம் கேட்கிறது
Few Hours Back,சில மணிநேரங்களுக்கு முன்பு
A girl  is entering their apartment through the window,ஜன்னல் வழியாக அவர்களின் குடியிருப்பில் ஒரு பெண் நுழைகிறாள்
Unexpectedly there is someone ringing the bell,எதிர்பாராத விதமாக யாரோ மணி அடிக்கிறார்கள்
Sub enters the house and saw her ,சப் வீட்டிற்குள் நுழைந்து அவளை பார்த்தான்
"Seeing no other option, she sttabed Sub",வேறு வழியில்லாமல் சுப்பை குத்தினாள்
She drags the body to the bath tub ,அவள் உடலை குளியல் தொட்டிக்கு இழுக்கிறாள்
She cleans the knife,அவள் கத்தியை சுத்தம் செய்கிறாள்
She tries to hide in the closet…,அவள் அலமாரியில் மறைக்க முயற்சிக்கிறாள் …
Back to the present,"அதி, நிஷ் மற்றும் விக் கூட வீட்டை அடையும் தருணம்"
Vik opens the closet ,விக் அலமாரியைத் திறக்கிறார்
He see the girl Hiding Inside,உள்ளே ஒளிந்திருக்கும் பெண்ணைப் பார்த்தான்
She hits him in the head,அவள் தலையில் அடிக்கிறாள்
 , 
Vik get knocked down,விக் கீழே விழுந்தார்
She tried to hide Vik ,விக்கை மறைக்க முயன்றாள்
Athi enters the room and shout for help,ஆதி அறைக்குள் நுழைந்து உதவிக்காக கத்தினாள்
Seeing this Nish knocks her out with the pan ,இதைப் பார்த்த நிஷ் அவளை சட்டியால் தட்டினான்
 , 
They tie  and lock her ,அவளை கட்டிப்போட்டு படுக்கையறை ஒன்றில் அடைத்து வைத்திருக்கிறார்கள்
And again start calling the police ,மீண்டும் காவல்துறையை அழைக்கத் தொடங்குங்கள்
She tries to run away by pushing athi,ஆத்தியை தள்ளிக்கொண்டு ஓட முயல்கிறாள்
She also pushes Nish and runs away,அவளும் நிஷை தள்ளிவிட்டு ஓடுகிறாள்
She runs into the woods,அவள் காட்டுக்குள் ஓடுகிறாள்
Athi and Nish starts chasing her,ஆதியும் நிஷும் அவளை துரத்த ஆரம்பித்தனர்
While chasing she slips and falls into the lake ,துரத்தும்போது தவறி ஏரியில் விழுந்தாள்
They saw her Drowning, 
The police finishes off with all the protocols and scans the place ,காவல்துறை அனைத்து நெறிமுறைகளையும் முடித்து அந்த இடத்தை ஸ்கேன் செய்கிறது
But she is no where to be found ,ஆனால் அவளை எங்கும் காணவில்லை
Once the police leaves; they try to go to sleep,போலீஸ் கிளம்பியதும்; அவர்கள் தங்கள் புலன்களைச் சேகரித்து தூங்க முயற்சிக்கிறார்கள்
Athi sees through the window and he screams…,அவ்வாறு முயற்சிக்கும் போது; ஜன்னல் வழியே பார்த்து கதறினான் ஆதி…
Vik and Nish come running to the room and ask   Athi what happened. He points towards the window... ,விக் மற்றும் நிஷ் அறைக்கு ஓடி வந்து என்ன நடந்தது என்று ஆதியிடம் கேட்கிறார்கள். ஜன்னல் பக்கம் காட்டினான்…
They see the girl standing  outside the window…...Directly staring at them…,ஜன்னலுக்கு வெளியே நிற்பதை அவர்கள் பார்க்கிறார்கள்... நேராக அவர்களை முறைக்கிறார்கள்…
To be continued …...,தொடரும்